term	canonical	roles	sources	source_types	parent_types	confidence	source_count	entry_count
a line	a line	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
above the hip (length)	above the hip (length)	size_attribute	fashionpedia	length	length	medium	1	1
above the knee (length)	above the knee (length)	size_attribute	fashionpedia	length	length	medium	1	1
abstract	abstract	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1
accordion (skirt)	accordion (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
adult	adult	age_attribute	ovad|vaw	maturity	maturity	high	2	2
aged	aged	age_attribute|condition_attribute	ovad|vaw	maturity|newness	maturity|newness	high	2	3
airborne	airborne	context_attribute	vaw	place	place	high	1	1
aliceblue	aliceblue	color_attribute	css_color_4	color	color	high	1	1
aluminum	aluminum	material_attribute	ovad|vaw	material	material	high	2	2
amber	amber	color_attribute	vaw	color	color	high	1	1
angry	angry	expression_attribute	ovad|vaw	face expression	face expression	high	2	2
anorak	anorak	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
antiquewhite	antiquewhite	color_attribute	css_color_4	color	color	high	1	1
applique(a)	applique(a)	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1
aqua	aqua	color_attribute	css_color_4|vaw	color	color	high	2	2
aquamarine	aquamarine	color_attribute	css_color_4	color	color	high	1	1
arch shaped	arch shaped	shape_attribute	vaw	shape	shape	high	1	1
argyle	argyle	pattern_attribute	fashionpedia	textile pattern	textile pattern	medium	1	1
arranged	arranged	order_attribute	ovad	order	order	high	1	1
arrow shaped	arrow shaped	shape_attribute	vaw	shape	shape	high	1	1
asian	asian	race_attribute	vaw	race	race	high	1	1
asphalt	asphalt	material_attribute	ovad|vaw	material	material	high	2	2
asymmetric (collar)	asymmetric (collar)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
asymmetric (neckline)	asymmetric (neckline)	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1
asymmetrical	asymmetrical	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
azure	azure	color_attribute	css_color_4	color	color	high	1	1
baby	baby	age_attribute|attribute	ovad|vaw	maturity|other	maturity|other	high	2	2
baggy	baggy	attribute|silhouette_attribute	fashionpedia|vaw	other|silhouette	other|silhouette	medium	2	2
baked	baked	attribute|food_state_attribute	ovad|vaw	cooked|other	cooked|other	high	2	2
bald	bald	attribute|size_attribute	ovad|vaw	hair length|other	length|other	high	2	2
ball gown (skirt)	ball gown (skirt)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
balloon	balloon	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
bamboo	bamboo	material_attribute	ovad|vaw	material	material	high	2	2
banded	banded	texture_attribute	dtd	texture	texture	high	1	1
banded (collar)	banded (collar)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
basque (wasitline)	basque (wasitline)	clothing_cut_attribute	fashionpedia	waistline	waistline	medium	1	1
bead(a)	bead(a)	textile_finish_attribute	fashionpedia	textile finishing, manufacturing techniques	textile finishing, manufacturing techniques	medium	1	1
beige	beige	color_attribute	css_color_4|vaw	color	color	high	2	2
bell	bell	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
bell (sleeve)	bell (sleeve)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
bell bottom	bell bottom	silhouette_attribute	fashionpedia	silhouette	silhouette	medium	1	1
below the knee (length)	below the knee (length)	size_attribute	fashionpedia	length	length	medium	1	1
bend	bend	state_attribute	ovad	state	state	high	1	1
bending	bending	pose_attribute	vaw	pose	pose	high	1	1
bermuda (shorts)	bermuda (shorts)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
big	big	size_attribute	ovad|vaw	size	size	high	2	2
biker (jacket)	biker (jacket)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
bishop (sleeve)	bishop (sleeve)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
bisque	bisque	color_attribute	css_color_4	color	color	high	1	1
black	black	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6
black haired	black haired	color_attribute	vaw	hair color	hair color	high	1	1
black lettered	black lettered	color_attribute	vaw	letter color	letter color	high	1	1
blanchedalmond	blanchedalmond	color_attribute	css_color_4	color	color	high	1	1
blanket (coat)	blanket (coat)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
blazer	blazer	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
blond	blond	color_attribute	vaw	color|hair color	color|hair color	high	1	2
bloomers	bloomers	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
blotchy	blotchy	texture_attribute	dtd	texture	texture	high	1	1
blouson (dress)	blouson (dress)	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
blue	blue	color_attribute	css_color_4|ovad|paco|vaw	clothes color|color|hair color	color	high	4	6
blue plaid	blue plaid	pattern_attribute	vaw	pattern	pattern	high	1	1
blue striped	blue striped	pattern_attribute	vaw	pattern	pattern	high	1	1
blueviolet	blueviolet	color_attribute	css_color_4	color	color	high	1	1
bluish	bluish	color_attribute	vaw	color	color	high	1	1
boardshorts	boardshorts	fashion_style_attribute	fashionpedia	nickname	nickname	medium	1	1
boat (neck)	boat (neck)	clothing_cut_attribute	fashionpedia	neckline type	neckline type	medium	1	1
